frame,x,y,ball possesion
0,115.826087,39.32432432,0
0,100.9565217,52.97297297,1
0,106.826087,38.51351351,0
0,97.95652174,31.08108108,0
0,97.17391304,42.16216216,0
1,115.9565217,39.18918919,0
1,100.9565217,52.83783784,0
1,106.826087,38.37837838,0
1,97.82608696,31.08108108,1
1,97.17391304,42.16216216, 
2,115.9565217,39.18918919,0
2,101.0869565,52.7027027,
2,97.04347826,42.56756757,
2,106.6956522,38.10810811,
2,98.2173913,30.67567568,
3,115.9565217,39.18918919,
3,101.0869565,52.83783784,
3,97.04347826,42.7027027,
3,106.826087,38.10810811,
3,98.2173913,30.67567568,
4,116.0869565,39.45945946,
4,101.0869565,53.64864865,
4,97.17391304,43.24324324,
4,106.826087,38.10810811,
4,98.08695652,31.08108108,
5,116.0869565,40,
5,98.2173913,30.54054054,
5,97.69565217,42.56756757,
5,106.6956522,38.64864865,
5,102.2608696,52.16216216,
6,116.0869565,39.86486486,
6,98.34782609,30.94594595,
6,97.82608696,43.10810811,
6,106.6956522,38.51351351,
6,102.2608696,52.43243243,
7,116.0869565,40,
7,98.2173913,31.21621622,
7,97.82608696,43.24324324,
7,106.6956522,38.64864865,
7,102.2608696,52.56756757,
8,115.9565217,40.67567568,
8,98.73913043,31.21621622,
8,98.2173913,43.51351351,
8,106.6956522,38.51351351,
8,102.6521739,52.56756757,
9,115.9565217,40.81081081,
9,98.73913043,31.08108108,
9,98.2173913,43.51351351,
9,106.826087,38.10810811,
9,102.9130435,52.43243243,
10,115.826087,40.94594595,
10,98.73913043,31.35135135,
10,98.2173913,43.91891892,
10,106.9565217,38.10810811,
10,103.0434783,52.7027027,
11,116.0869565,41.08108108,
11,106.9565217,38.51351351,
11,102.9130435,53.24324324,
11,98.34782609,44.72972973,
11,98.73913043,31.35135135,
12,116.2173913,41.08108108,
12,107.0869565,38.64864865,
12,103.173913,53.37837838,
12,98.34782609,45.13513514,
12,98.73913043,31.62162162,
13,116.2173913,41.08108108,
13,107.0869565,38.64864865,
13,103.4347826,53.37837838,
13,98.47826087,45.40540541,
13,98.73913043,31.89189189,
14,115.9565217,41.48648649,
14,107.4782609,37.7027027,
14,99.26086957,31.21621622,
14,103.4347826,54.18918919,
14,99,45.54054054,
15,115.9565217,41.48648649,
15,107.4782609,37.56756757,
15,99.39130435,31.21621622,
15,103.6956522,54.18918919,
15,99.13043478,45.67567568,
16,115.9565217,41.35135135,
16,107.4782609,37.56756757,
16,99.39130435,31.35135135,
16,103.826087,54.32432432,
16,99.13043478,46.08108108,
17,105.5217391,40.81081081,
17,116.3478261,40.81081081,
17,99.39130435,32.02702703,
17,103.9565217,54.05405405,
17,99.26086957,46.48648649,
18,105.5217391,40.81081081,
18,116.4782609,40.67567568,
18,99.52173913,31.89189189,
18,104.4782609,53.78378378,
18,99.52173913,46.21621622,
19,105.5217391,40.94594595,
19,116.6086957,40.54054054,
19,99.65217391,32.16216216,
19,104.6086957,53.64864865,
19,99.7826087,45.94594595,
20,106.9565217,38.91891892,
20,105.1304348,53.37837838,
20,100.9565217,43.91891892,
20,100.0434783,31.75675676,
20,116.2173913,40.81081081,
21,107.2173913,38.78378378,
21,105.3913043,53.10810811,
21,100.9565217,43.91891892,
21,100.173913,31.48648649,
21,116.3478261,40.67567568,
22,107.2173913,39.05405405,
22,105.6521739,52.83783784,
22,100.9565217,44.32432432,
22,100.173913,31.75675676,
22,116.2173913,40.67567568,
23,100.6956522,45.40540541,
23,106.5652174,40,
23,105.9130435,53.64864865,
23,100.826087,29.86486486,
23,116.2173913,41.35135135,
24,100.826087,45.67567568,
24,106.6956522,40,
24,106.3043478,53.37837838,
24,100.826087,29.86486486,
24,116.2173913,41.21621622,
25,100.826087,45.94594595,
25,106.826087,40.13513514,
25,106.5652174,53.37837838,
25,100.9565217,29.72972973,
25,116.3478261,41.08108108,
26,106.5652174,38.91891892,
26,100.826087,30.81081081,
26,106.3043478,54.59459459,
26,116.2173913,40.94594595,
26,101.3478261,45.13513514,
27,106.9565217,38.51351351,
27,100.9565217,30.81081081,
27,106.6956522,54.45945946,
27,116.3478261,40.54054054,
27,101.6086957,45,
28,106.9565217,38.51351351,
28,101.0869565,30.94594595,
28,106.6956522,54.59459459,
28,116.4782609,40.54054054,
28,101.7391304,45,
29,116.0869565,40.67567568,
29,107.8695652,37.43243243,
29,100.826087,45.54054054,
29,101.0869565,31.21621622,
29,107.7391304,53.37837838,
30,116.2173913,40.54054054,
30,108.2608696,37.16216216,
30,100.9565217,45.54054054,
30,101.2173913,30.94594595,
30,108,53.24324324,
31,116.2173913,40.27027027,
31,108.2608696,37.16216216,
31,100.9565217,45.67567568,
31,101.3478261,30.81081081,
31,108.2608696,53.10810811,
32,101.4782609,30.67567568,
32,108.1304348,53.64864865,
32,100.5652174,47.16216216,
32,115.9565217,40.81081081,
32,108.1304348,37.2972973,
33,101.6086957,30.54054054,
33,108.3913043,53.64864865,
33,100.5652174,47.2972973,
33,116.0869565,40.54054054,
33,108.2608696,37.2972973,
34,101.7391304,30.54054054,
34,108.5217391,53.64864865,
34,100.6956522,47.16216216,
34,116.0869565,40.40540541,
34,108.5217391,37.02702703,
35,101.3478261,31.89189189,
35,100.826087,47.16216216,
35,109.0434783,53.10810811,
35,116.8695652,38.78378378,
36,101.3478261,32.2972973,
36,100.826087,47.2972973,
36,109.173913,53.24324324,
36,116.8695652,38.64864865,
37,101.3478261,32.56756757,
37,100.826087,47.16216216,
37,109.173913,53.37837838,
37,116.8695652,38.64864865,
38,110.4782609,52.2972973,
38,101.2173913,32.83783784,
38,100.5652174,48.37837838,
38,116.2173913,39.72972973,
38,108.3913043,37.83783784,
39,110.7391304,52.02702703,
39,101.3478261,32.7027027,
39,100.5652174,48.24324324,
39,116.2173913,39.72972973,
39,108.3913043,37.97297297,
40,111,51.89189189,
40,101.4782609,32.7027027,
40,100.6956522,48.37837838,
40,116.3478261,39.59459459,
40,108.3913043,37.97297297,
41,101.7391304,31.89189189,
41,101.3478261,47.02702703,
41,111.2608696,51.48648649,
41,108.2608696,38.24324324,
41,116.3478261,39.59459459,
42,101.8695652,31.75675676,
42,101.4782609,46.89189189,
42,111.3913043,51.35135135,
42,108.5217391,38.10810811,
42,116.4782609,39.45945946,
43,101.8695652,31.75675676,
43,101.4782609,47.02702703,
43,111.3913043,51.48648649,
43,108.5217391,37.97297297,
43,116.3478261,39.45945946,
44,101.7391304,46.75675676,
44,101.8695652,31.89189189,
44,107.8695652,39.32432432,
44,111.6521739,51.35135135,
44,115.5652174,40.81081081,
44,116.6086957,39.05405405,
45,101.7391304,46.89189189,
45,101.8695652,31.89189189,
45,107.8695652,39.18918919,
45,111.7826087,51.21621622,
45,115.6956522,40.54054054,
45,116.7391304,38.78378378,
46,101.6086957,47.2972973,
46,101.8695652,31.75675676,
46,107.8695652,39.18918919,
46,111.7826087,51.35135135,
46,115.6956522,40.67567568,
46,116.7391304,38.91891892,
47,101.7391304,32.7027027,
47,107.8695652,38.78378378,
47,111.6521739,51.48648649,
48,101.7391304,32.56756757,
48,108,38.64864865,
48,111.6521739,51.35135135,
49,101.7391304,32.43243243,
49,107.8695652,38.78378378,
49,111.7826087,51.35135135,
50,102,31.48648649,
50,107.7391304,38.91891892,
50,112.0434783,50.54054054,
50,116.3478261,39.72972973,
50,115.6956522,40.67567568,
51,102,31.35135135,
51,107.8695652,38.78378378,
51,112.173913,50.27027027,
51,116.3478261,39.72972973,
51,115.826087,40.67567568,
52,102.1304348,31.35135135,
52,107.8695652,38.78378378,
52,112.173913,50.27027027,
52,116.4782609,39.72972973,
52,115.826087,40.67567568,
53,101.8695652,32.16216216,
53,111.7826087,50.27027027,
53,108,38.78378378,
53,116.2173913,40.13513514,
54,101.8695652,32.16216216,
54,111.9130435,49.86486486,
54,108,38.64864865,
54,116.4782609,40,
55,101.8695652,32.16216216,
55,111.9130435,49.72972973,
55,108,38.78378378,
55,116.4782609,40,
56,101.4782609,32.7027027,
56,102.9130435,47.2972973,
56,107.7391304,39.05405405,
56,111.5217391,49.86486486,
57,101.6086957,32.56756757,
57,103.173913,47.02702703,
57,107.7391304,39.05405405,
57,111.5217391,49.72972973,
58,101.6086957,32.43243243,
58,103.4347826,46.89189189,
58,107.8695652,38.91891892,
58,111.5217391,49.59459459,
59,102.2608696,31.48648649,
59,111.6521739,49.18918919,
59,108.1304348,38.64864865,
60,102.3913043,31.35135135,
60,111.6521739,48.91891892,
60,108.2608696,38.51351351,
61,102.3913043,31.21621622,
61,111.6521739,48.78378378,
61,108.2608696,38.51351351,
62,110.4782609,50,
62,108,39.18918919,
62,104.3478261,46.75675676,
62,102.7826087,30.67567568,
63,110.4782609,49.86486486,
63,108,39.18918919,
63,104.4782609,46.62162162,
63,102.9130435,30.54054054,
64,110.4782609,49.59459459,
64,108,39.18918919,
64,104.4782609,46.75675676,
64,103.0434783,30.67567568,
65,108.1304348,39.05405405,
65,101.7391304,33.37837838,
65,104.7391304,46.48648649,
65,110.4782609,49.45945946,
66,108.1304348,38.91891892,
66,101.7391304,33.37837838,
66,105.1304348,46.08108108,
66,110.4782609,49.18918919,
67,108.1304348,38.78378378,
67,101.7391304,33.37837838,
67,105.2608696,45.94594595,
67,110.6086957,49.05405405,
68,107.8695652,39.05405405,
68,109.5652174,50,
68,109.6956522,50.13513514,
68,102.3913043,32.56756757,
69,108,38.91891892,
69,109.5652174,50,
69,109.6956522,50,
69,102.5217391,32.56756757,
70,108,38.91891892,
70,109.5652174,50,
70,109.6956522,49.86486486,
70,102.6521739,32.43243243,
71,108,39.05405405,
71,108.7826087,50.94594595,
71,102.7826087,32.43243243,
72,108,38.91891892,
72,108.9130435,50.94594595,
72,103.0434783,32.2972973,
73,108,39.05405405,
73,108.7826087,50.94594595,
73,103.0434783,32.2972973,
74,108,38.78378378,
74,103.0434783,31.75675676,
74,108.3913043,51.48648649,
74,112.173913,45.81081081,
74,115.4347826,41.89189189,
75,108,38.64864865,
75,103.173913,31.75675676,
75,108.3913043,51.35135135,
75,112.0434783,46.08108108,
75,115.4347826,41.75675676,
76,108,38.64864865,
76,103.3043478,31.62162162,
76,108.3913043,51.21621622,
76,111.9130435,46.35135135,
76,115.4347826,41.75675676,
