Starting_Point,Ending_Point,PassCompletion
"(92, 48)","(93, 52)",pass completed
"(93, 52)","(92, 49)",pass completed
"(91, 49)","(91, 49)",no pass attempted
"(92, 49)","(92, 49)",no pass attempted
"(92, 49)","(92, 49)",no pass attempted
"(92, 48)","(92, 48)",no pass attempted
"(92, 48)","(92, 48)",no pass attempted
"(92, 48)","(92, 48)",no pass attempted
"(93, 47)","(80, 48)",pass completed
"(80, 48)","(98, 37)",pass completed
"(98, 37)","(100, 46)",pass completed
