Starting_Point,Ending_Point,PassCompletion,Team,TypeOfPass
"(35, 68)","(53, 64)",pass completed,Green,Normal Pass
"(53, 64)","(51, 46)",pass completed,Green,Normal Pass
"(51, 46)","(32, 60)",pass incomplete,Green,Normal Pass
"(32, 60)","(32, 60)",no pass attempted,Blue,Normal Pass
"(32, 60)","(32, 60)",no pass attempted,Blue,Normal Pass
"(32, 60)","(32, 60)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 58)","(31, 58)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 59)","(31, 59)",no pass attempted,Blue,Normal Pass
"(31, 60)","(31, 60)",no pass attempted,Blue,Normal Pass
"(31, 60)","(31, 60)",no pass attempted,Blue,Normal Pass
"(31, 60)","(31, 60)",no pass attempted,Blue,Normal Pass
"(31, 60)","(31, 60)",no pass attempted,Blue,Normal Pass
"(31, 60)","(31, 60)",no pass attempted,Blue,Normal Pass
"(30, 59)","(43, 32)",pass completed,Blue,Normal Pass
"(43, 32)","(30, 59)",pass completed,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
"(30, 59)","(30, 59)",no pass attempted,Blue,Normal Pass
