frame,x,y,,,,,,,,,,,,,,,,,,,,
24,103.3043478,36.21621622,,,,,,,,,,,,,,,,,,,,
24,102.2608696,48.24324324,,,,,,,,,,,,,,,,,,,,
24,108.3913043,38.10810811,,,,,,,,,,,,,,,,,,,,
25,108,49.32432432,,,,,,,,,,,,,,,,,,,,
25,103.3043478,36.21621622,,,,,,,,,,,,,,,,,,,,
25,102.2608696,48.24324324,,,,,,,,,,,,,,,,,,,,
25,108.5217391,38.24324324,,,,,,,,,,,,,,,,,,,,
26,102.7826087,37.43243243,,,,,,,,,,,,,,,,,,,,
26,106.9565217,51.21621622,,,,,,,,,,,,,,,,,,,,
26,107.8695652,40.67567568,,,,,,,,,,,,,,,,,,,,
27,102.7826087,37.56756757,,,,,,,,,,,,,,,,,,,,
27,106.9565217,51.35135135,,,,,,,,,,,,,,,,,,,,
27,108,40.67567568,,,,,,,,,,,,,,,,,,,,
28,102.7826087,37.83783784,,,,,,,,,,,,,,,,,,,,
28,106.826087,51.62162162,,,,,,,,,,,,,,,,,,,,
28,108.1304348,40.94594595,,,,,,,,,,,,,,,,,,,,
29,102.9130435,38.24324324,,,,,,,,,,,,,,,,,,,,
29,106.6956522,52.16216216,,,,,,,,,,,,,,,,,,,,
29,107.8695652,41.08108108,,,,,,,,,,,,,,,,,,,,
29,102.2608696,45.27027027,,,,,,,,,,,,,,,,,,,,
30,103.0434783,37.97297297,,,,,,,,,,,,,,,,,,,,
30,106.826087,52.02702703,,,,,,,,,,,,,,,,,,,,
30,108.1304348,40.81081081,,,,,,,,,,,,,,,,,,,,
30,102.5217391,45,,,,,,,,,,,,,,,,,,,,
31,103.173913,37.7027027,,,,,,,,,,,,,,,,,,,,
31,106.9565217,51.89189189,,,,,,,,,,,,,,,,,,,,
31,108.1304348,40.81081081,,,,,,,,,,,,,,,,,,,,
31,102.6521739,44.86486486,,,,,,,,,,,,,,,,,,,,
32,102.9130435,37.7027027,,,,,,,,,,,,,,,,,,,,
32,107.4782609,50.81081081,,,,,,,,,,,,,,,,,,,,
32,108.1304348,40.81081081,,,,,,,,,,,,,,,,,,,,
32,102.1304348,45.67567568,,,,,,,,,,,,,,,,,,,,
33,103.0434783,37.56756757,,,,,,,,,,,,,,,,,,,,
33,107.7391304,50.54054054,,,,,,,,,,,,,,,,,,,,
33,108.2608696,40.67567568,,,,,,,,,,,,,,,,,,,,
33,102.2608696,45.54054054,,,,,,,,,,,,,,,,,,,,
34,103.0434783,37.56756757,,,,,,,,,,,,,,,,,,,,
34,108,50.13513514,,,,,,,,,,,,,,,,,,,,
34,108.5217391,40.40540541,,,,,,,,,,,,,,,,,,,,
34,102.2608696,45.81081081,,,,,,,,,,,,,,,,,,,,
35,103.4347826,37.2972973,,,,,,,,,,,,,,,,,,,,
35,108.5217391,49.45945946,,,,,,,,,,,,,,,,,,,,
35,108.6521739,40.67567568,,,,,,,,,,,,,,,,,,,,
35,101.8695652,48.51351351,,,,,,,,,,,,,,,,,,,,
35,102.1304348,48.37837838,,,,,,,,,,,,,,,,,,,,
36,103.3043478,37.43243243,,,,,,,,,,,,,,,,,,,,
36,108.7826087,49.18918919,,,,,,,,,,,,,,,,,,,,
36,108.7826087,40.81081081,,,,,,,,,,,,,,,,,,,,
36,102,48.24324324,,,,,,,,,,,,,,,,,,,,
36,102.1304348,48.10810811,,,,,,,,,,,,,,,,,,,,
37,103.3043478,37.43243243,,,,,,,,,,,,,,,,,,,,
37,108.7826087,49.18918919,,,,,,,,,,,,,,,,,,,,
37,108.7826087,40.94594595,,,,,,,,,,,,,,,,,,,,
37,102,48.10810811,,,,,,,,,,,,,,,,,,,,
37,102.2608696,47.83783784,,,,,,,,,,,,,,,,,,,,
38,109.173913,48.91891892,,,,,,,,,,,,,,,,,,,,
