x_Point,y_Point,PressureRating,Team,TimeStamp
67,68,0,Red,7.62
66,68,0,Red,7.64
66,67,0,Red,7.64
66,68,0,Red,7.66
66,67,0,Red,7.67
66,67,0,Red,7.76
65,66,0,Red,7.86
64,66,0,Red,7.87
59,64,0,Red,8.19
59,62,2,Red,8.43
59,62,2,Red,8.44
59,62,2,Red,8.46
59,62,2,Red,8.48
59,62,2,Red,8.48
59,54,0,Blue,8.53
59,54,0,Blue,8.54
59,54,0,Blue,8.56
60,54,0,Blue,8.56
60,54,0,Blue,8.58
60,54,0,Blue,8.59
60,54,0,Blue,8.61
60,54,0,Blue,8.64
60,54,0,Blue,8.64
60,54,0,Blue,8.66
61,54,0,Blue,8.68
68,47,0,Red,8.86
68,47,0,Red,8.88
68,47,0,Red,8.89
68,47,0,Red,8.91
68,47,0,Red,8.93
68,47,0,Red,8.94
73,50,0,Blue,8.96
68,46,0,Red,8.96
68,47,0,Red,8.99
68,47,0,Red,9.01
68,47,0,Red,9.03
68,47,0,Red,9.04
68,47,0,Red,9.06
68,48,0,Red,9.08
68,47,0,Red,9.09
68,47,0,Red,9.11
68,47,0,Red,9.13
68,48,0,Red,9.14
68,48,0,Red,9.16
68,48,0,Red,9.16
68,49,0,Red,9.18
68,49,0,Red,9.23
69,49,1,Red,9.24
69,49,1,Red,9.26
69,49,1,Red,9.28
69,49,1,Red,9.29
73,49,1,Blue,9.31
73,49,1,Blue,9.33
73,48,1,Blue,9.34
73,48,1,Blue,9.34
73,48,1,Blue,9.36
73,48,1,Blue,9.38
73,48,1,Blue,9.39
73,48,1,Blue,9.41
88,37,0,Blue,10.26
77,40,0,Blue,11.44
77,40,0,Blue,11.44
77,40,0,Blue,11.46
71,22,0,Red,11.63
71,22,0,Red,11.63
71,22,0,Red,11.66
72,22,0,Red,11.68
72,23,0,Red,11.7
72,22,0,Red,11.7
79,19,0,Red,12.58
79,19,0,Red,12.6
79,19,0,Red,12.61
79,19,0,Red,12.63
79,19,0,Red,12.63
79,19,0,Red,12.65
79,19,0,Red,12.66
79,18,0,Red,12.68
79,19,0,Red,12.68
79,18,0,Red,12.7
80,18,0,Red,12.71
79,18,0,Red,12.73
80,18,0,Red,12.75
80,18,0,Red,12.75
80,18,0,Red,12.76
81,21,0,Blue,12.86
81,18,0,Red,12.88
81,18,0,Red,12.9
81,18,0,Red,12.9
81,18,0,Red,12.91
81,18,0,Red,12.93
81,18,0,Red,12.95
81,18,0,Red,12.96
81,18,0,Red,12.96
81,18,0,Red,12.98
81,18,0,Red,13.0
82,18,0,Red,13.01
82,18,0,Red,13.01
82,18,0,Red,13.03
82,17,0,Red,13.05
82,17,0,Red,13.06
82,17,0,Red,13.08
82,17,0,Red,13.08
82,17,0,Red,13.25
83,17,0,Red,13.26
83,18,0,Red,13.28
83,17,0,Red,13.3
83,17,0,Red,13.31
83,17,0,Red,13.31
83,18,0,Red,13.33
83,18,1,Red,13.35
83,18,1,Red,13.36
79,38,0,Blue,13.58
79,38,0,Blue,13.6
95,28,2,Blue,13.75
96,28,1,Blue,13.76
95,28,2,Blue,13.78
95,28,1,Blue,13.8
95,28,1,Blue,13.81
95,28,1,Blue,13.83
95,28,1,Blue,13.85
94,29,1,Blue,13.9
94,29,1,Blue,13.91
94,29,1,Blue,13.93
94,29,1,Blue,13.95
93,29,0,Blue,13.96
93,29,1,Blue,13.98
93,29,0,Blue,14.01
93,29,0,Blue,14.05
92,29,0,Blue,14.06
92,29,0,Blue,14.1
92,29,5,Blue,14.11
91,29,0,Blue,14.13
91,29,0,Blue,14.13
91,29,0,Blue,14.15
91,29,0,Blue,14.16
91,29,0,Blue,14.18
91,30,0,Blue,14.2
90,29,0,Blue,14.21
90,29,0,Blue,14.21
90,29,0,Blue,14.23
90,29,0,Blue,14.25
90,29,0,Blue,14.26
90,29,0,Blue,14.28
78,36,3,Red,14.76
77,36,4,Red,14.83
75,54,0,Blue,15.03
75,54,0,Blue,15.05
75,54,0,Blue,15.07
75,54,0,Blue,15.07
75,54,0,Blue,15.08
75,54,0,Blue,15.1
75,35,3,Blue,15.1
75,54,0,Blue,15.12
75,37,4,Red,15.13
75,54,0,Blue,15.18
75,53,0,Blue,15.2
75,53,0,Blue,15.22
75,53,0,Blue,15.23
76,54,0,Blue,15.25
76,53,0,Blue,15.25
73,35,0,Blue,15.63
73,35,4,Blue,15.65
73,36,4,Blue,15.72
55,45,0,Blue,15.85
55,45,0,Blue,15.87
55,45,0,Blue,15.88
55,45,0,Blue,15.9
55,45,0,Blue,15.92
55,45,0,Blue,15.93
55,45,0,Blue,15.95
55,46,0,Blue,15.97
55,43,0,Blue,15.98
55,44,0,Blue,15.98
55,45,0,Blue,16.0
55,44,0,Blue,16.02
55,45,0,Blue,16.03
85,72,1,Blue,16.05
55,45,0,Blue,16.05
55,44,0,Blue,16.07
55,44,0,Blue,16.08
55,44,0,Blue,16.1
55,45,0,Blue,16.12
55,44,0,Blue,16.13
55,46,0,Blue,16.15
55,46,0,Blue,16.17
