Starting_Point,Ending_Point,PassCompletion,Team,TS
"(54, 55)","(54, 55)",no pass attempted,Blue,17.05
"(54, 55)","(54, 55)",no pass attempted,Blue,17.07
"(54, 55)","(50, 56)",pass incomplete,Blue,17.07
"(50, 56)","(54, 55)",pass completed,Red,17.1
"(54, 55)","(50, 55)",pass completed,Red,17.1
"(50, 55)","(54, 55)",pass completed,Red,17.13
"(54, 55)","(54, 55)",pass incomplete,Red,17.13
"(54, 55)","(54, 55)",no pass attempted,Blue,17.17
"(54, 55)","(51, 55)",pass incomplete,Blue,17.17
"(51, 55)","(51, 55)",no pass attempted,Red,17.18
"(51, 55)","(51, 55)",no pass attempted,Red,17.18
"(51, 55)","(51, 55)",no pass attempted,Red,17.22
"(51, 55)","(51, 55)",no pass attempted,Red,17.22
"(51, 55)","(51, 55)",no pass attempted,Red,17.25
"(51, 55)","(51, 55)",no pass attempted,Red,17.25
"(51, 55)","(51, 55)",no pass attempted,Red,17.27
"(51, 55)","(55, 55)",pass completed,Red,17.27
"(55, 55)","(55, 55)",no pass attempted,Red,17.32
"(55, 55)","(55, 55)",no pass attempted,Red,17.32
"(55, 55)","(55, 55)",no pass attempted,Red,17.33
"(55, 55)","(55, 55)",no pass attempted,Red,17.33
"(55, 55)","(55, 55)",no pass attempted,Red,17.37
"(55, 55)","(53, 57)",pass incomplete,Red,17.37
"(53, 57)","(55, 55)",pass completed,Blue,17.4
"(55, 55)","(54, 55)",pass incomplete,Blue,17.4
"(54, 55)","(53, 58)",pass completed,Red,17.43
"(53, 58)","(52, 58)",pass incomplete,Red,17.43
"(52, 58)","(53, 58)",pass completed,Blue,17.45
"(53, 58)","(52, 58)",pass completed,Blue,17.45
"(52, 58)","(52, 58)",no pass attempted,Blue,17.48
"(52, 58)","(52, 58)",no pass attempted,Blue,17.48
"(52, 58)","(52, 58)",no pass attempted,Blue,17.52
"(52, 58)","(52, 58)",no pass attempted,Blue,17.52
"(52, 58)","(52, 58)",no pass attempted,Blue,17.53
"(52, 58)","(52, 58)",no pass attempted,Blue,17.53
"(52, 58)","(52, 58)",no pass attempted,Blue,17.57
"(52, 58)","(52, 59)",pass completed,Blue,17.57
"(52, 59)","(61, 44)",pass completed,Blue,17.58
"(61, 44)","(52, 59)",pass completed,Blue,17.58
"(52, 59)","(61, 44)",pass completed,Blue,17.58
"(61, 44)","(52, 59)",pass completed,Blue,17.58
"(52, 59)","(52, 59)",no pass attempted,Blue,17.62
"(52, 59)","(48, 63)",pass completed,Blue,17.62
"(48, 63)","(48, 63)",no pass attempted,Blue,17.65
"(48, 63)","(48, 63)",no pass attempted,Blue,17.65
"(48, 63)","(48, 63)",no pass attempted,Blue,17.67
"(48, 63)","(48, 63)",no pass attempted,Blue,17.67
"(48, 63)","(48, 63)",no pass attempted,Blue,17.7
"(48, 63)","(47, 63)",pass completed,Blue,17.7
"(47, 63)","(47, 63)",no pass attempted,Blue,17.73
"(47, 63)","(47, 63)",no pass attempted,Blue,17.73
"(47, 63)","(47, 63)",no pass attempted,Blue,17.75
"(47, 63)","(46, 63)",pass completed,Blue,17.75
"(46, 63)","(47, 63)",pass completed,Blue,17.78
"(47, 63)","(51, 61)",pass completed,Blue,17.78
"(51, 61)","(46, 63)",pass completed,Blue,17.82
"(46, 63)","(46, 63)",no pass attempted,Blue,17.82
"(46, 63)","(46, 63)",no pass attempted,Blue,17.85
"(46, 63)","(46, 63)",no pass attempted,Blue,17.85
"(46, 63)","(46, 63)",no pass attempted,Blue,17.87
"(46, 63)","(51, 62)",pass completed,Blue,17.87
"(51, 62)","(46, 63)",pass completed,Blue,17.9
"(46, 63)","(50, 62)",pass completed,Blue,17.9
"(50, 62)","(50, 62)",no pass attempted,Blue,17.93
"(50, 62)","(50, 62)",no pass attempted,Blue,17.93
"(50, 62)","(50, 62)",no pass attempted,Blue,17.95
"(50, 62)","(50, 62)",no pass attempted,Blue,17.95
"(50, 62)","(50, 62)",no pass attempted,Blue,17.98
"(50, 62)","(50, 62)",no pass attempted,Blue,17.98
"(50, 62)","(50, 62)",no pass attempted,Blue,18.02
"(50, 62)","(50, 63)",pass completed,Blue,18.02
"(50, 63)","(50, 62)",pass completed,Blue,18.05
"(50, 62)","(49, 63)",pass completed,Blue,18.05
"(49, 63)","(50, 63)",pass completed,Blue,18.07
"(50, 63)","(49, 63)",pass completed,Blue,18.07
"(49, 63)","(49, 63)",no pass attempted,Blue,18.1
"(49, 63)","(49, 63)",no pass attempted,Blue,18.1
"(49, 63)","(49, 63)",no pass attempted,Blue,18.13
"(49, 63)","(49, 64)",pass completed,Blue,18.13
"(49, 64)","(49, 64)",no pass attempted,Blue,18.17
"(49, 64)","(49, 64)",no pass attempted,Blue,18.17
"(49, 64)","(49, 64)",no pass attempted,Blue,18.2
"(49, 64)","(49, 65)",pass completed,Blue,18.2
"(49, 65)","(49, 65)",no pass attempted,Blue,18.22
"(49, 65)","(48, 65)",pass completed,Blue,18.22
"(48, 65)","(49, 65)",pass completed,Blue,18.25
"(49, 65)","(48, 65)",pass completed,Blue,18.25
"(48, 65)","(48, 66)",pass completed,Blue,18.28
"(48, 66)","(48, 66)",no pass attempted,Blue,18.28
"(48, 66)","(48, 65)",pass completed,Blue,18.32
"(48, 65)","(48, 66)",pass completed,Blue,18.32
"(48, 66)","(48, 66)",no pass attempted,Blue,18.35
"(48, 66)","(48, 66)",no pass attempted,Blue,18.35
"(48, 66)","(48, 66)",no pass attempted,Blue,18.39
"(48, 66)","(47, 67)",pass completed,Blue,18.39
"(47, 67)","(48, 67)",pass completed,Blue,18.4
"(48, 67)","(47, 66)",pass completed,Blue,18.4
"(47, 66)","(47, 68)",pass completed,Blue,18.44
"(47, 68)","(47, 68)",no pass attempted,Blue,18.44
"(47, 68)","(47, 68)",no pass attempted,Blue,18.47
"(47, 68)","(47, 69)",pass completed,Blue,18.47
"(47, 69)","(47, 68)",pass completed,Blue,18.5
"(47, 68)","(47, 68)",no pass attempted,Blue,18.5
"(47, 68)","(47, 68)",no pass attempted,Blue,18.52
"(47, 68)","(47, 68)",no pass attempted,Blue,18.52
"(47, 68)","(47, 68)",no pass attempted,Blue,18.55
"(47, 68)","(47, 69)",pass completed,Blue,18.55
"(47, 69)","(47, 69)",no pass attempted,Blue,18.59
"(47, 69)","(58, 60)",pass completed,Blue,18.59
"(58, 60)","(47, 69)",pass completed,Blue,18.6
"(47, 69)","(46, 69)",pass completed,Blue,18.6
"(46, 69)","(47, 69)",pass completed,Blue,18.62
"(47, 69)","(46, 70)",pass completed,Blue,18.62
"(46, 70)","(46, 70)",no pass attempted,Blue,18.65
"(46, 70)","(46, 71)",pass completed,Blue,18.65
"(46, 71)","(46, 70)",pass completed,Blue,18.69
"(46, 70)","(46, 71)",pass completed,Blue,18.69
"(46, 71)","(46, 71)",no pass attempted,Blue,18.72
"(46, 71)","(46, 71)",no pass attempted,Blue,18.72
"(46, 71)","(46, 71)",no pass attempted,Blue,18.75
"(46, 71)","(46, 70)",pass completed,Blue,18.75
"(46, 70)","(46, 70)",no pass attempted,Blue,18.8
"(46, 70)","(46, 71)",pass completed,Blue,18.8
"(46, 71)","(46, 70)",pass completed,Blue,18.84
"(46, 70)","(46, 71)",pass completed,Blue,18.84
"(46, 71)","(46, 70)",pass completed,Blue,18.87
"(46, 70)","(46, 72)",pass completed,Blue,18.87
"(46, 72)","(46, 71)",pass completed,Blue,18.9
"(46, 71)","(45, 71)",pass completed,Blue,18.9
"(45, 71)","(46, 71)",pass completed,Blue,18.94
"(46, 71)","(45, 71)",pass completed,Blue,18.94
"(45, 71)","(45, 71)",no pass attempted,Blue,18.95
"(45, 71)","(45, 71)",no pass attempted,Blue,18.95
"(45, 71)","(45, 71)",no pass attempted,Blue,18.99
"(45, 71)","(45, 72)",pass completed,Blue,18.99
"(45, 72)","(45, 72)",no pass attempted,Blue,19.02
"(45, 72)","(45, 71)",pass completed,Blue,19.02
"(45, 71)","(45, 71)",no pass attempted,Blue,19.05
"(45, 71)","(45, 71)",no pass attempted,Blue,19.05
"(45, 71)","(45, 71)",no pass attempted,Blue,19.07
"(45, 71)","(45, 71)",no pass attempted,Blue,19.07
"(45, 71)","(45, 71)",no pass attempted,Blue,19.1
"(45, 71)","(44, 71)",pass completed,Blue,19.1
"(44, 71)","(45, 71)",pass completed,Blue,19.14
"(45, 71)","(40, 72)",pass incomplete,Blue,19.14
"(40, 72)","(40, 72)",no pass attempted,Red,19.17
"(40, 72)","(35, 67)",pass completed,Red,19.17
"(35, 67)","(44, 71)",pass completed,Red,19.4
"(44, 71)","(36, 68)",pass completed,Red,19.4
"(36, 68)","(35, 68)",pass completed,Red,19.44
"(35, 68)","(36, 68)",pass completed,Red,19.44
"(36, 68)","(35, 68)",pass completed,Red,19.47
"(35, 68)","(34, 65)",pass completed,Red,19.47
"(34, 65)","(35, 66)",pass completed,Red,19.69
"(35, 66)","(35, 66)",no pass attempted,Red,19.69
"(35, 66)","(50, 46)",pass completed,Red,19.7
"(50, 46)","(53, 64)",pass completed,Red,19.7
"(53, 64)","(32, 60)",pass completed,Red,19.74
"(32, 60)","(32, 60)",pass incomplete,Red,19.74
"(32, 60)","(32, 60)",no pass attempted,Blue,19.77
"(32, 60)","(32, 60)",no pass attempted,Blue,19.77
"(32, 60)","(32, 60)",no pass attempted,Blue,19.8
"(32, 60)","(31, 59)",pass completed,Blue,19.8
"(31, 59)","(32, 60)",pass completed,Blue,19.92
"(32, 60)","(31, 59)",pass completed,Blue,19.92
"(31, 59)","(31, 59)",no pass attempted,Blue,19.95
"(31, 59)","(31, 58)",pass completed,Blue,19.95
"(31, 58)","(31, 59)",pass completed,Blue,19.99
"(31, 59)","(31, 59)",no pass attempted,Blue,19.99
"(31, 59)","(31, 58)",pass completed,Blue,20.02
"(31, 58)","(31, 58)",no pass attempted,Blue,20.02
"(31, 58)","(31, 59)",pass completed,Blue,20.05
"(31, 59)","(30, 58)",pass completed,Blue,20.05
"(30, 58)","(31, 59)",pass completed,Blue,20.09
"(31, 59)","(30, 58)",pass completed,Blue,20.09
"(30, 58)","(31, 59)",pass completed,Blue,20.12
"(31, 59)","(31, 59)",no pass attempted,Blue,20.12
"(31, 59)","(30, 58)",pass completed,Blue,20.15
"(30, 58)","(31, 58)",pass completed,Blue,20.15
"(31, 58)","(31, 59)",pass completed,Blue,20.19
"(31, 59)","(31, 58)",pass completed,Blue,20.19
"(31, 58)","(31, 58)",no pass attempted,Blue,20.27
"(31, 58)","(30, 58)",pass completed,Blue,20.27
"(30, 58)","(31, 58)",pass completed,Blue,20.3
"(31, 58)","(30, 58)",pass completed,Blue,20.3
"(30, 58)","(30, 59)",pass completed,Blue,20.35
"(30, 59)","(31, 60)",pass completed,Blue,20.35
"(31, 60)","(30, 59)",pass completed,Blue,20.39
"(30, 59)","(31, 60)",pass completed,Blue,20.39
"(31, 60)","(31, 60)",no pass attempted,Blue,20.42
"(31, 60)","(31, 60)",no pass attempted,Blue,20.42
"(31, 60)","(31, 60)",no pass attempted,Blue,20.47
"(31, 60)","(31, 60)",no pass attempted,Blue,20.47
"(31, 60)","(31, 60)",no pass attempted,Blue,20.5
"(31, 60)","(31, 60)",no pass attempted,Blue,20.5
"(31, 60)","(31, 60)",no pass attempted,Blue,20.54
"(31, 60)","(31, 60)",no pass attempted,Blue,20.54
"(31, 60)","(43, 32)",pass completed,Blue,20.55
"(43, 32)","(30, 59)",pass completed,Blue,20.55
"(30, 59)","(31, 59)",pass completed,Blue,20.59
"(31, 59)","(30, 59)",pass completed,Blue,20.59
"(30, 59)","(30, 59)",no pass attempted,Blue,20.62
"(30, 59)","(30, 59)",no pass attempted,Blue,20.62
"(30, 59)","(30, 59)",no pass attempted,Blue,20.65
"(30, 59)","(30, 59)",no pass attempted,Blue,20.65
"(30, 59)","(30, 59)",no pass attempted,Blue,20.69
"(30, 59)","(30, 59)",no pass attempted,Blue,20.69
"(30, 59)","(30, 59)",no pass attempted,Blue,20.72
"(30, 59)","(30, 59)",no pass attempted,Blue,20.72
"(30, 59)","(30, 59)",no pass attempted,Blue,20.74
"(30, 59)","(30, 58)",pass completed,Blue,20.74
"(30, 58)","(30, 59)",pass completed,Blue,20.77
"(30, 59)","(30, 58)",pass completed,Blue,20.77
"(30, 58)","(30, 58)",no pass attempted,Blue,20.8
"(30, 58)","(29, 58)",pass completed,Blue,20.8
"(29, 58)","(30, 58)",pass completed,Blue,20.84
"(30, 58)","(29, 58)",pass completed,Blue,20.84
"(29, 58)","(29, 58)",no pass attempted,Blue,20.87
"(29, 58)","(29, 57)",pass completed,Blue,20.87
"(29, 57)","(29, 58)",pass completed,Blue,20.92
"(29, 58)","(28, 57)",pass completed,Blue,20.92
"(28, 57)","(28, 57)",no pass attempted,Blue,20.95
"(28, 57)","(28, 57)",no pass attempted,Blue,20.95
"(28, 57)","(28, 57)",no pass attempted,Blue,20.97
"(28, 57)","(28, 57)",no pass attempted,Blue,20.97
"(28, 57)","(28, 57)",no pass attempted,Blue,21.02
"(28, 57)","(28, 57)",no pass attempted,Blue,21.02
"(28, 57)","(28, 57)",no pass attempted,Blue,21.05
"(28, 57)","(27, 57)",pass completed,Blue,21.05
"(27, 57)","(29, 54)",pass completed,Blue,21.09
"(29, 54)","(35, 41)",pass completed,Blue,21.09
"(35, 41)","(27, 57)",pass completed,Blue,21.6
"(27, 57)","(34, 44)",pass completed,Blue,21.6
"(34, 44)","(35, 41)",pass completed,Blue,21.65
"(35, 41)","(33, 45)",pass completed,Blue,21.65
"(33, 45)","(34, 44)",pass completed,Blue,21.77
"(34, 44)","(33, 41)",pass completed,Blue,21.77
"(33, 41)","(33, 45)",pass completed,Blue,21.81
"(33, 45)","(30, 46)",pass completed,Blue,21.81
"(30, 46)","(33, 41)",pass completed,Blue,22.32
"(33, 41)","(29, 45)",pass completed,Blue,22.32
"(29, 45)","(29, 46)",pass completed,Blue,22.52
