Starting_Point,Ending_Point,PassCompletion,Team,TS
"(32, 69)","(32, 69)",no pass attempted,Red,3.32
"(32, 69)","(32, 69)",no pass attempted,Red,3.32
"(32, 69)","(32, 69)",no pass attempted,Red,3.35
"(32, 69)","(33, 69)",pass completed,Red,3.35
"(33, 69)","(33, 69)",no pass attempted,Red,3.37
"(33, 69)","(33, 69)",no pass attempted,Red,3.37
"(33, 69)","(33, 70)",pass completed,Red,3.42
"(33, 70)","(35, 68)",pass incomplete,Red,3.42
"(35, 68)","(35, 68)",no pass attempted,Blue,3.47
"(35, 68)","(32, 69)",pass incomplete,Blue,3.47
"(32, 69)","(33, 68)",pass completed,Red,3.49
"(33, 68)","(32, 68)",pass completed,Red,3.49
"(32, 68)","(32, 68)",no pass attempted,Red,3.52
"(32, 68)","(33, 69)",pass completed,Red,3.52
"(33, 69)","(33, 69)",no pass attempted,Red,3.55
"(33, 69)","(32, 69)",pass completed,Red,3.55
"(32, 69)","(32, 69)",no pass attempted,Red,3.59
"(32, 69)","(32, 69)",no pass attempted,Red,3.59
"(32, 69)","(32, 69)",no pass attempted,Red,3.62
"(32, 69)","(33, 70)",pass completed,Red,3.62
"(33, 70)","(33, 70)",no pass attempted,Red,3.64
"(33, 70)","(36, 69)",pass incomplete,Red,3.64
"(36, 69)","(33, 70)",pass completed,Blue,3.67
"(33, 70)","(36, 69)",pass completed,Blue,3.67
"(36, 69)","(33, 69)",pass completed,Blue,3.69
"(33, 69)","(36, 69)",pass completed,Blue,3.69
"(36, 69)","(36, 69)",no pass attempted,Blue,3.72
"(36, 69)","(36, 69)",no pass attempted,Blue,3.72
"(36, 69)","(36, 69)",no pass attempted,Blue,3.75
"(36, 69)","(36, 69)",no pass attempted,Blue,3.75
"(36, 69)","(36, 69)",no pass attempted,Blue,3.77
"(36, 69)","(36, 69)",no pass attempted,Blue,3.77
"(36, 69)","(36, 69)",no pass attempted,Blue,3.8
"(36, 69)","(36, 69)",no pass attempted,Blue,3.8
"(36, 69)","(36, 69)",no pass attempted,Blue,3.82
"(36, 69)","(36, 69)",no pass attempted,Blue,3.82
"(36, 69)","(36, 69)",no pass attempted,Blue,3.87
"(36, 69)","(37, 69)",pass completed,Blue,3.87
"(37, 69)","(36, 69)",pass completed,Blue,3.89
"(36, 69)","(31, 58)",pass completed,Blue,3.89
"(31, 58)","(33, 65)",pass completed,Blue,3.94
"(33, 65)","(36, 67)",pass completed,Blue,3.94
"(36, 67)","(33, 65)",pass completed,Blue,3.97
"(33, 65)","(37, 68)",pass completed,Blue,3.97
"(37, 68)","(37, 68)",no pass attempted,Blue,4.0
"(37, 68)","(37, 68)",no pass attempted,Blue,4.0
"(37, 68)","(37, 68)",no pass attempted,Blue,4.04
"(37, 68)","(37, 69)",pass completed,Blue,4.04
"(37, 69)","(37, 68)",pass completed,Blue,4.07
"(37, 68)","(38, 71)",pass completed,Blue,4.07
"(38, 71)","(37, 70)",pass completed,Blue,4.1
"(37, 70)","(38, 72)",pass completed,Blue,4.1
"(38, 72)","(38, 72)",no pass attempted,Blue,4.14
"(38, 72)","(39, 72)",pass completed,Blue,4.14
"(39, 72)","(38, 72)",pass completed,Blue,4.15
"(38, 72)","(39, 73)",pass completed,Blue,4.15
"(39, 73)","(39, 73)",no pass attempted,Blue,4.17
"(39, 73)","(39, 73)",no pass attempted,Blue,4.17
"(39, 73)","(39, 73)",no pass attempted,Blue,4.2
"(39, 73)","(39, 74)",pass completed,Blue,4.2
"(39, 74)","(39, 73)",pass completed,Blue,4.24
"(39, 73)","(39, 73)",no pass attempted,Blue,4.24
"(39, 73)","(39, 73)",no pass attempted,Blue,4.25
"(39, 73)","(40, 74)",pass completed,Blue,4.25
"(40, 74)","(39, 73)",pass completed,Blue,4.29
"(39, 73)","(40, 74)",pass completed,Blue,4.29
"(40, 74)","(40, 74)",no pass attempted,Blue,4.3
"(40, 74)","(40, 74)",no pass attempted,Blue,4.3
"(40, 74)","(40, 74)",no pass attempted,Blue,4.34
"(40, 74)","(37, 72)",pass incomplete,Blue,4.34
"(37, 72)","(40, 75)",pass completed,Red,4.35
"(40, 75)","(40, 74)",pass incomplete,Red,4.35
"(40, 74)","(40, 74)",no pass attempted,Blue,4.39
"(40, 74)","(40, 75)",pass completed,Blue,4.39
"(40, 75)","(40, 75)",no pass attempted,Blue,4.4
"(40, 75)","(37, 73)",pass incomplete,Blue,4.4
"(37, 73)","(37, 73)",no pass attempted,Red,4.55
"(37, 73)","(37, 73)",no pass attempted,Red,4.55
"(37, 73)","(37, 73)",no pass attempted,Red,4.62
"(37, 73)","(39, 73)",pass completed,Red,4.62
"(39, 73)","(37, 73)",pass completed,Red,5.06
"(37, 73)","(39, 73)",pass completed,Red,5.06
"(39, 73)","(39, 73)",no pass attempted,Red,5.07
"(39, 73)","(39, 73)",no pass attempted,Red,5.07
"(39, 73)","(38, 73)",pass completed,Red,5.11
"(38, 73)","(49, 77)",pass completed,Red,5.11
"(49, 77)","(49, 77)",no pass attempted,Red,5.19
"(49, 77)","(49, 77)",no pass attempted,Red,5.19
"(49, 77)","(49, 77)",no pass attempted,Red,5.24
"(49, 77)","(49, 77)",no pass attempted,Red,5.24
"(49, 77)","(49, 77)",no pass attempted,Red,5.27
"(49, 77)","(75, 80)",pass completed,Red,5.27
"(75, 80)","(49, 77)",pass completed,Red,5.94
"(49, 77)","(78, 80)",pass completed,Red,5.94
"(78, 80)","(77, 80)",pass completed,Red,5.99
"(77, 80)","(78, 79)",pass completed,Red,5.99
"(78, 79)","(31, 60)",pass completed,Red,6.01
"(31, 60)","(77, 79)",pass completed,Red,6.01
"(77, 79)","(78, 79)",pass completed,Red,6.04
"(78, 79)","(77, 78)",pass completed,Red,6.04
"(77, 78)","(77, 78)",no pass attempted,Red,6.07
"(77, 78)","(75, 77)",pass completed,Red,6.07
"(75, 77)","(76, 78)",pass completed,Red,6.11
"(76, 78)","(53, 78)",pass completed,Red,6.11
"(53, 78)","(75, 77)",pass completed,Red,6.56
"(75, 77)","(53, 78)",pass completed,Red,6.56
"(53, 78)","(53, 78)",no pass attempted,Red,6.59
"(53, 78)","(53, 78)",no pass attempted,Red,6.59
"(53, 78)","(53, 78)",no pass attempted,Red,6.62
"(53, 78)","(53, 78)",no pass attempted,Red,6.62
"(53, 78)","(53, 78)",no pass attempted,Red,6.64
"(53, 78)","(54, 78)",pass completed,Red,6.64
"(54, 78)","(53, 78)",pass completed,Red,6.67
"(53, 78)","(54, 78)",pass completed,Red,6.67
"(54, 78)","(54, 78)",no pass attempted,Red,6.71
"(54, 78)","(54, 78)",no pass attempted,Red,6.71
"(54, 78)","(54, 78)",no pass attempted,Red,6.72
"(54, 78)","(74, 75)",pass completed,Red,6.72
"(74, 75)","(54, 78)",pass completed,Red,7.07
"(54, 78)","(74, 75)",pass completed,Red,7.07
"(74, 75)","(68, 65)",pass completed,Red,7.09
"(68, 65)","(74, 75)",pass completed,Red,7.09
"(74, 75)","(74, 75)",no pass attempted,Red,7.11
"(74, 75)","(74, 75)",no pass attempted,Red,7.11
"(74, 75)","(74, 75)",no pass attempted,Red,7.14
"(74, 75)","(73, 75)",pass completed,Red,7.14
"(73, 75)","(73, 75)",no pass attempted,Red,7.16
"(73, 75)","(72, 75)",pass completed,Red,7.16
"(72, 75)","(73, 75)",pass completed,Red,7.26
"(73, 75)","(71, 75)",pass completed,Red,7.26
"(71, 75)","(71, 75)",no pass attempted,Red,7.31
"(71, 75)","(70, 75)",pass completed,Red,7.31
"(70, 75)","(70, 75)",no pass attempted,Red,7.34
"(70, 75)","(70, 75)",no pass attempted,Red,7.34
"(70, 75)","(70, 76)",pass completed,Red,7.37
"(70, 76)","(67, 76)",pass completed,Red,7.37
"(67, 76)","(67, 76)",no pass attempted,Red,7.61
"(67, 76)","(66, 76)",pass completed,Red,7.61
"(66, 76)","(67, 76)",pass completed,Red,7.64
"(67, 76)","(66, 76)",pass completed,Red,7.64
"(66, 76)","(66, 75)",pass completed,Red,7.66
"(66, 75)","(66, 75)",no pass attempted,Red,7.66
"(66, 75)","(66, 75)",no pass attempted,Red,7.76
"(66, 75)","(64, 74)",pass completed,Red,7.76
"(64, 74)","(65, 74)",pass completed,Red,7.87
"(65, 74)","(59, 70)",pass completed,Red,7.87
"(59, 70)","(59, 72)",pass completed,Red,8.43
"(59, 72)","(59, 70)",pass completed,Red,8.43
"(59, 70)","(59, 70)",no pass attempted,Red,8.46
"(59, 70)","(59, 70)",no pass attempted,Red,8.46
"(59, 70)","(59, 70)",no pass attempted,Red,8.48
"(59, 70)","(59, 62)",pass incomplete,Red,8.48
